username,course_id,grade
jirasrideslis,MinesTelecom/04017/session01,0.0
jirasrideslis,MinesTelecom/04017S02/session02,0.0
jirasrideslis,MinesTelecom/04018/session01,0.0
jirasrideslis,MinesTelecom/04018S02/session02,0.0
jirasrideslis,MinesTelecom/04021/session01,0.0
jirasrideslis,MinesTelecom/04021S02/session02,0.0
jirasrideslis,course-v1:MinesTelecom+04017+session03,0.0
jirasrideslis,course-v1:MinesTelecom+04021+session03,0.0
jirasrideslis,course-v1:MinesTelecom+04018+session03,0.0
jirasrideslis,CNAM/01002S04/session04,0.0
jirasrideslis,course-v1:MinesTelecom+04026+session02,0.0
jirasrideslis,course-v1:MinesTelecom+04017+session04,0.0
jirasrideslis,course-v1:MinesTelecom+04021+session05,0.0
jirasrideslis,course-v1:MinesTelecom+04026+session03,0.0
Osiatis_FUN,MinesTelecom/04017/session01,0.0
Osiatis_FUN,MinesTelecom/04017S02/session02,0.0
Osiatis_FUN,MinesTelecom/04018/session01,0.0
Osiatis_FUN,MinesTelecom/04021/session01,0.0
Osiatis_FUN,course-v1:MinesTelecom+04017+session03,0.0
Osiatis_FUN,course-v1:MinesTelecom+04021+session03,0.0
Osiatis_FUN,course-v1:MinesTelecom+04018+session03,0.0
Osiatis_FUN,CNAM/01002S04/session04,0.0
Osiatis_FUN,course-v1:MinesTelecom+04026+session02,0.0
Osiatis_FUN,course-v1:MinesTelecom+04021+session04,0.0
Osiatis_FUN,course-v1:MinesTelecom+04017+session04,0.0
Osiatis_FUN,course-v1:MinesTelecom+04026+session03,0.0
EllaHamonic,MinesTelecom/04017/session01,0.22
EllaHamonic,MinesTelecom/04017S02/session02,0.18
EllaHamonic,MinesTelecom/04018/session01,0.0
EllaHamonic,MinesTelecom/04018S02/session02,0.0
EllaHamonic,MinesTelecom/04021/session01,0.26
EllaHamonic,MinesTelecom/04021S02/session02,0.0
EllaHamonic,course-v1:MinesTelecom+04017+session03,0.13
EllaHamonic,course-v1:MinesTelecom+04021+session03,0.3
EllaHamonic,course-v1:MinesTelecom+04018+session03,0.0
EllaHamonic,course-v1:MinesTelecom+04021+session04,0.0
DelphineLalire,MinesTelecom/04017/session01,0.0
DelphineLalire,MinesTelecom/04017S02/session02,0.0
DelphineLalire,MinesTelecom/04018/session01,0.0
DelphineLalire,MinesTelecom/04018S02/session02,0.0
DelphineLalire,MinesTelecom/04021/session01,0.0
DelphineLalire,MinesTelecom/04021S02/session02,0.0
DelphineLalire,course-v1:MinesTelecom+04017+session03,0.0
DelphineLalire,course-v1:MinesTelecom+04021+session03,0.0
DelphineLalire,course-v1:MinesTelecom+04018+session03,0.0
DelphineLalire,course-v1:MinesTelecom+04026+session02,0.0
DelphineLalire,course-v1:MinesTelecom+04021+session04,0.0
DelphineLalire,course-v1:MinesTelecom+04017+session04,0.0
DelphineLalire,course-v1:MinesTelecom+04026+session03,0.0
